A股代码,证券简称,上市日期,总股本,流通股
601399,国机重装,20200608,7213555900,7213555900
601456,国联民生,20200731,5237952800,2389133200
601500,通用股份,20160919,1589315700,1583000700
601512,中新集团,20191220,1498890000,1498890000
601515,东峰集团,20120216,1876525500,1876525500
601518,吉林高速,20100319,1890553200,1890553200
601519,大智慧,20110128,1989160000,1989160000
601528,瑞丰银行,20210625,1962161400,1734456500
601555,东吴证券,20111212,4968702800,4968702800
601566,九牧王,20110530,574637200,574637200
601567,三星医疗,20110615,1405251200,1405209400
601568,北元集团,20201020,3972222199,3972222199
601577,长沙银行,20180926,4021553800,4020683600
601579,会稽山,20140825,479463399,479463399
601588,北辰实业,20061016,2660000000,2660000000
601595,上海电影,20160817,448200000,448200000
601598,中国外运,20190118,5255916899,5255916899
601599,浙文影业,20110527,1160542500,1160542500
601600,中国铝业,20070430,13211666100,13165622400
601601,中国太保,20071225,6845041500,6845041500
601606,长城军工,20180806,724228400,724228400
601607,上海医药,19940324,2789289099,2789207500
601608,中信重工,20120706,4579553400,4550567900
601609,金田股份,20200422,1703688599,1703688599
601611,中国核建,20160606,3013834200,3013834200
601615,明阳智能,20190123,2271496700,2271496700
601616,广电电气,20110201,853675300,853675300
601618,中国中冶,20090921,17852619200,17852619200
601619,嘉泽新能,20170720,2434364600,2434364600
601628,中国人寿,20070109,20823530000,20823530000
601633,长城汽车,20110928,6240170300,6209242000
601636,旗滨集团,20110812,2683575600,2683575600
601658,邮储银行,20191210,100238886500,67122395199
601665,齐鲁银行,20210618,6153842500,6153842500
601666,平煤股份,20061123,2469356000,2469356000
601668,中国建筑,20090729,41320390400,41320390400
601669,中国电建,20111018,17226159300,13071525900
601677,明泰铝业,20110919,1243523600,1218006600
601678,滨化股份,20100223,2056836300,2029836300
601686,友发集团,20201204,1449303800,1449303800
601688,华泰证券,20100226,7308256600,7306758100
601689,拓普集团,20150319,1737835600,1737835600
601696,XD中银证,20200226,2778000000,2778000000
601698,中国卫通,20190628,4224385400,4224385400
601699,潞安环能,20060922,2991409200,2991409200
601700,风范股份,20110118,1142246700,1142246700
601702,华峰铝业,20200907,998530600,998530600
601717,中创智领,20100803,1542165700,1542165700
601718,际华集团,20100816,4391629400,4391629400
601727,上海电气,20081205,12615639600,12615639600
601728,中国电信,20210820,77629728700,77629728700
601766,中国中车,20080818,24327798000,24327798000
601777,千里科技,20101125,4521100100,4521100100
601778,晶科科技,20200519,3570974099,3570974099
601788,光大证券,20090818,3906698800,3906698800
601789,宁波建工,20110816,1086798600,1086798600
601798,蓝科高新,20110622,354528200,354528200
601799,星宇股份,20110201,285679400,285679400
601800,中国交建,20120309,11860135400,11778437200
601801,皖新传媒,20100118,1957931200,1957931200
601808,中海油服,20070928,2960468000,2960468000
601811,新华文轩,20160808,791903900,791903900
601816,京沪高铁,20200116,48925679400,48925679400
601818,光大银行,20100818,46406815599,46406815599
601825,沪农商行,20210819,9644444400,9316583600
601827,三峰环境,20200605,1671933299,1671933299
601828,美凯龙,20180117,3613447000,3613447000
601838,成都银行,20180131,4238435400,4231058200
601857,中国石油,20071105,161922077800,161922077800
601858,中国科传,20170118,790500000,790500000
601860,紫金银行,20190103,3660986400,3551570100
601865,福莱特,20190215,1901205200,1900205200
601866,中远海发,20071212,9751983800,9751983800
601868,中国能建,20210928,32428727599,32428727599
601869,长飞光纤,20180720,406338300,406338300
601872,招商轮船,20061201,8074538500,8074538500
601877,正泰电器,20100121,2148969000,2148969000
601878,XD浙商证,20170626,4573796600,4573796600
601880,辽港股份,20101206,18746758700,18746758700
601881,中国银河,20170123,7243417600,7243417600
601882,海天精工,20161107,522000000,522000000
601886,江河集团,20110818,1133002100,1133002100
601888,中国中免,20091015,1952475500,1952475500
601890,亚星锚链,20101228,959400000,959400000
601898,中煤能源,20080201,9152000400,9152000400
601899,紫金矿业,20080425,20588733900,20587938300
601900,南方传媒,20160215,881970100,881970100
601901,方正证券,20110810,8232101400,8232101400
601908,京运通,20110908,2414602900,2414602900
601916,浙商银行,20191126,21544436000,21544436000
601918,新集能源,20071219,2590541800,2590541800
601919,中远海控,20070626,12609935200,12609935200
601921,浙版传媒,20210723,2222222200,2222222200
601928,凤凰传媒,20111130,2544900000,2544900000
601929,吉视传媒,20120223,3489788200,3489788200
601933,永辉超市,20101215,9075037000,9075037000
601939,建设银行,20070925,21183061600,9593657600
601949,中国出版,20170821,1903968100,1903968100
601952,苏垦农发,20170515,1378000000,1378000000
601956,东贝集团,20201225,621782000,621616600
601958,金钼股份,20080417,3226604400,3226604400
601963,重庆银行,20210205,1895564500,1879401300
601965,中国汽研,20120611,1003054900,993996600
601966,玲珑轮胎,20160706,1463502700,1463502700
601968,宝钢包装,20150611,1275779500,1275779500
601969,海南矿业,20141209,1998792200,1978096000
601975,招商南油,20190108,4801856100,4801856100
601985,中国核电,20150610,20568002100,18883284900
601988,中国银行,20060705,238590135400,210765514800
601989,中国重工,20091216,22802035299,22802035299
601990,南京证券,20180613,3686361000,3659788800
601991,大唐发电,20061220,12396089100,12396089100
601992,金隅集团,20110301,8339006300,8334158300
601995,中金公司,20201102,2923542400,2923542400
601996,丰林集团,20110929,1120914400,1120914400
601997,贵阳银行,20160816,3656198100,3656198100
601998,中信银行,20070427,40762999300,40762999300
601999,出版传媒,20071221,550914700,550914700
603000,人民网,20120427,1105691100,1105691100
603001,奥康国际,20120426,400980000,400980000
603002,宏昌电子,20120518,1134078500,1134078500
603004,鼎龙科技,20231227,235520000,58880000
603005,晶方科技,20140210,652171700,652171700
603006,联明股份,20140630,254254300,254254300
603007,*ST花王,20160826,876896100,499830800
603008,喜临门,20120717,371441500,371441500
603009,北特科技,20140718,338526200,338409000
603010,万盛股份,20141010,589578600,589578600
603011,合锻智能,20141107,494414400,494414400
603012,创力集团,20150320,650472000,646500000
603013,亚普股份,20180509,512599300,512599300
603014,威高血净,20250519,411394100,38112600
603015,弘讯科技,20150303,404219000,404219000
603016,新宏泰,20160701,148160000,148160000
603017,中衡设计,20141231,276190300,276190300
603018,华设集团,20141013,683795200,683795200
603019,中科曙光,20141106,1463115799,1462706900
603020,爱普股份,20150325,383237800,383237800
